Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,165","25,165","25,460",BIDV,2024-12-09
USD(1-2-5),Dollar,"24,158",-,-,BIDV,2024-12-09
USD(10-20),Dollar,"24,158",-,-,BIDV,2024-12-09
GBP,Bảng Anh,"31,897","31,970","32,818",BIDV,2024-12-09
HKD,Dollar Hồng Kông,"3,202","3,209","3,299",BIDV,2024-12-09
CHF,Franc Thụy Sỹ,"28,459","28,488","29,326",BIDV,2024-12-09
JPY,Yên Nhật,164.41,164.67,172.26,BIDV,2024-12-09
THB,Baht Thái Lan,684.92,719,767.34,BIDV,2024-12-09
AUD,Dollar Australia,"16,003","16,027","16,487",BIDV,2024-12-09
CAD,Dollar Canada,"17,697","17,722","18,213",BIDV,2024-12-09
SGD,Dollar Singapore,"18,541","18,618","19,213",BIDV,2024-12-09
SEK,Krone Thụy Điển,-,"2,277","2,351",BIDV,2024-12-09
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-12-09
DKK,Krone Đan Mạch,-,"3,526","3,639",BIDV,2024-12-09
NOK,Krone Na Uy,-,"2,231","2,304",BIDV,2024-12-09
CNY,Nhân Dân Tệ,-,"3,446","3,542",BIDV,2024-12-09
RUB,Rub Nga,-,-,-,BIDV,2024-12-09
NZD,Dollar New Zealand,"14,510","14,601","14,992",BIDV,2024-12-09
KRW,Won Hàn Quốc,15.47,17.09,18.4,BIDV,2024-12-09
EUR,Euro,"26,305","26,347","27,513",BIDV,2024-12-09
TWD,Dollar Đài Loan,705.3,-,851.35,BIDV,2024-12-09
MYR,Ringgit Malaysia,"5,352.38",-,"6,024.36",BIDV,2024-12-09
SAR,Saudi Arabian Riyals,-,"6,630.96","6,965.66",BIDV,2024-12-09
KWD,Kuwait Dinar,-,"80,248","85,166",BIDV,2024-12-09
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"85,200",BIDV,2024-12-09
